,Name,Attribute Vector,Percentiles
68,Patrick Berg,"[0.0, 0.02, 0.57, 0.19, 0.13, 0.15, 2.65, 56.08, 83.4, 7.01, 0.95, 0.19, 0.0, 1.89, 2.46, 1.33, 1.52, 1.14, 0.0]","[12, 10, 18, 86, 75, 45, 62, 69, 58, 85, 33, 4, 1, 49, 73, 72, 79, 56, 1]"
69,Philip Billing,"[0.23, 0.16, 1.24, 0.03, 0.1, 0.26, 1.76, 34.35, 77.1, 2.6, 1.2, 0.85, 2.31, 3.29, 2.05, 1.01, 1.56, 1.89, 1.69]","[93, 87, 67, 21, 63, 78, 24, 14, 21, 5, 42, 58, 84, 73, 50, 48, 82, 93, 85]"
70,Yves Bissouma,"[0.0, 0.02, 0.49, 0.0, 0.04, 0.06, 2.37, 65.74, 90.8, 5.47, 1.23, 0.57, 0.16, 0.82, 1.47, 1.14, 1.55, 0.98, 0.65]","[12, 8, 14, 8, 15, 9, 51, 88, 97, 61, 43, 36, 2, 16, 16, 59, 81, 47, 37]"
71,Kristijan Bistrović,"[0.08, 0.13, 1.56, 0.0, 0.11, 0.24, 3.58, 40.13, 77.3, 4.6, 1.32, 1.17, 0.78, 1.71, 1.09, 1.25, 0.7, 0.78, 0.47]","[63, 86, 82, 11, 68, 78, 84, 21, 26, 42, 57, 80, 37, 51, 5, 66, 8, 24, 19]"
72,Leonardo Bittencourt,"[0.17, 0.08, 1.38, 0.11, 0.15, 0.22, 2.21, 43.76, 73.1, 4.09, 2.82, 1.44, 2.1, 5.14, 2.93, 0.55, 0.72, 0.83, 0.61]","[83, 53, 75, 65, 81, 68, 45, 36, 9, 31, 90, 85, 79, 93, 88, 12, 7, 37, 33]"
73,Alexis Blin,"[0.04, 0.11, 0.83, 0.0, 0.04, 0.15, 1.59, 36.48, 79.5, 3.83, 0.49, 0.19, 1.25, 1.21, 2.61, 1.29, 2.08, 2.8, 2.08]","[34, 71, 34, 8, 15, 43, 17, 17, 33, 26, 9, 3, 54, 31, 79, 70, 97, 99, 92]"
74,Kevin-Prince Boateng,"[0.0, 0.06, 1.16, 0.0, 0.04, 0.1, 1.73, 48.57, 73.4, 4.63, 0.39, 0.19, 2.89, 3.85, 1.54, 0.58, 2.12, 0.96, 3.66]","[12, 37, 61, 8, 13, 22, 23, 48, 9, 43, 5, 4, 93, 81, 19, 13, 98, 46, 99]"
75,Jean-Paul Boëtius,"[0.0, 0.04, 0.43, 0.0, 0.06, 0.1, 2.06, 36.09, 72.0, 5.23, 0.34, 0.6, 0.6, 1.97, 2.57, 1.2, 2.14, 0.86, 0.43]","[12, 27, 12, 8, 33, 25, 37, 17, 8, 57, 4, 39, 28, 50, 77, 63, 98, 39, 18]"
76,Emil Bohinen,"[0.0, 0.01, 0.43, 0.0, 0.08, 0.09, 1.84, 51.81, 84.3, 3.35, 1.3, 0.87, 0.65, 1.73, 2.7, 1.84, 2.7, 2.27, 1.3]","[12, 3, 12, 8, 43, 19, 28, 57, 63, 16, 49, 60, 30, 44, 82, 98, 99, 97, 76]"
77,Giacomo Bonaventura,"[0.24, 0.2, 2.31, 0.05, 0.15, 0.35, 3.67, 43.14, 82.3, 4.8, 3.01, 1.08, 3.25, 4.29, 1.65, 0.75, 0.66, 0.24, 0.66]","[94, 94, 97, 31, 80, 92, 89, 34, 51, 48, 91, 72, 97, 86, 27, 25, 3, 2, 37]"
78,Theo Bongonda,"[0.14, 0.2, 1.95, 0.14, 0.14, 0.34, 2.09, 22.71, 67.3, 1.81, 3.44, 1.86, 2.55, 4.88, 1.3, 0.28, 0.98, 0.65, 0.65]","[76, 94, 91, 75, 78, 90, 38, 1, 2, 1, 98, 96, 87, 91, 10, 1, 26, 20, 37]"
